,idx,idm,errors
0,0,90611,0.0
1,1,90610,4.76837158203125e-07
2,2,90628,0.0
3,3,90609,2.384185791015625e-07
4,4,90645,4.76837158203125e-07
5,5,90646,4.76837158203125e-07
6,6,90627,2.384185791015625e-07
7,7,90660,4.76837158203125e-07
8,8,90661,4.76837158203125e-07
9,9,90662,9.5367431640625e-07
10,10,90629,0.0
11,11,90663,5.960464477539063e-08
12,12,90664,4.76837158203125e-07
13,13,90614,4.76837158203125e-07
14,14,90682,2.384185791015625e-07
15,15,90683,0.0
16,16,90684,4.76837158203125e-07
17,17,90696,2.384185791015625e-07
18,18,90697,0.0
19,19,90698,0.0
20,20,90699,0.0
21,21,90718,4.76837158203125e-07
22,22,90719,4.76837158203125e-07
23,23,90703,2.384185791015625e-07
24,24,90721,5.960464477539063e-08
25,25,90737,0.0
26,26,90738,4.76837158203125e-07
27,27,90739,0.0
28,28,90751,4.76837158203125e-07
29,29,90752,4.76837158203125e-07
30,30,90753,0.0
31,31,90700,4.76837158203125e-07
32,32,90755,0.0
33,33,90769,4.76837158203125e-07
34,34,90770,1.1920928955078125e-07
35,35,90771,2.384185791015625e-07
36,36,90774,1.1920928955078125e-07
37,37,90785,4.76837158203125e-07
38,38,90786,0.0
39,39,90789,5.960464477539063e-08
40,40,90803,2.384185791015625e-07
41,41,90804,4.76837158203125e-07
42,42,90816,1.1920928955078125e-07
43,43,90817,0.0
44,44,90818,0.0
45,45,90834,3.5762786865234375e-07
46,46,90835,0.0
