,idx,idm,errors
0,0,106266,4.76837158203125e-07
1,1,106272,4.76837158203125e-07
2,2,106270,4.76837158203125e-07
3,3,106265,4.76837158203125e-07
4,4,106267,0.0
5,5,106275,4.76837158203125e-07
6,6,106271,0.0
7,7,106276,4.76837158203125e-07
8,8,106273,0.0
9,9,106277,0.0
10,10,106278,0.0
11,11,106279,4.76837158203125e-07
12,12,106280,0.0
13,13,106393,0.0
14,14,106394,0.0
15,15,106395,4.76837158203125e-07
16,16,106473,0.0
17,17,106392,0.0
18,18,106474,4.76837158203125e-07
19,19,106475,0.0
20,20,106542,0.0
21,21,106543,0.0
22,22,106611,4.76837158203125e-07
23,23,106612,4.76837158203125e-07
24,24,106613,4.76837158203125e-07
25,25,106614,0.0
26,26,106668,0.0
27,27,106732,0.0
28,28,106734,0.0
29,29,106733,0.0
