,idx,idm,errors
0,0,97916,0.0
1,1,97917,0.0
2,2,97918,0.0
3,3,97919,0.0
4,4,97920,0.0
5,5,97921,0.0
6,6,97922,0.0
7,7,97923,0.0
8,8,97924,0.0
9,9,97925,0.0
10,10,97926,0.0
11,11,97927,0.0
12,12,97928,0.0
13,13,97929,0.0
14,14,97930,0.0
15,15,97932,0.0
16,16,97933,0.0
17,17,97934,0.0
18,18,97935,0.0
19,19,97938,0.0
20,20,97939,0.0
21,21,97940,0.0
22,22,97941,0.0
23,23,97942,0.0
24,24,97937,0.0
25,25,97949,0.0
26,26,97950,0.0
27,27,97951,0.0
28,28,97952,0.0
29,29,97953,0.0
30,30,97954,0.0
31,31,97955,0.0
32,32,97956,0.0
33,33,97959,0.0
34,34,97965,0.0
35,35,97966,0.0
36,36,97967,0.0
37,37,97968,0.0
38,38,97969,0.0
39,39,97971,0.0
40,40,97972,0.0
41,41,97981,0.0
42,42,97982,0.0
43,43,97983,9.5367431640625e-07
44,44,97984,0.0
45,45,97985,0.0
46,46,97986,0.0
47,47,97998,0.0
48,48,97999,0.0
49,49,98001,0.0
50,50,98002,0.0
51,51,98012,0.0
52,52,98013,0.0
53,53,98015,0.0
54,54,98033,0.0
55,55,98034,0.0
56,56,98035,0.0
57,57,98038,0.0
58,58,98055,0.0
