,idx,idm,errors
0,0,106864,4.76837158203125e-07
1,1,106865,4.76837158203125e-07
2,2,106847,1.1920928955078125e-07
3,3,106890,3.5762786865234375e-07
4,4,106879,4.76837158203125e-07
5,5,106867,0.0
6,6,106893,1.1920928955078125e-07
7,7,106881,0.0
8,8,106900,5.960464477539063e-08
9,9,106898,2.384185791015625e-07
10,10,106878,3.5762786865234375e-07
11,11,106902,4.76837158203125e-07
12,12,106906,3.5762786865234375e-07
13,13,106883,2.384185791015625e-07
14,14,106908,3.5762786865234375e-07
15,15,106899,0.0
16,16,106909,0.0
17,17,106901,0.0
18,18,106910,4.6193599700927734e-07
19,19,106911,4.0978193283081055e-07
20,20,106912,4.76837158203125e-07
21,21,106907,4.76837158203125e-07
22,22,106916,2.980232238769531e-07
23,23,106917,1.1920928955078125e-07
24,24,106918,2.384185791015625e-07
25,25,106903,2.384185791015625e-07
26,26,106919,1.1920928955078125e-07
27,27,106904,1.1920928955078125e-07
28,28,106920,2.682209014892578e-07
29,29,106921,1.1920928955078125e-07
30,30,106913,1.7881393432617188e-07
31,31,106922,1.4901161193847656e-07
32,32,106923,1.9371509552001953e-07
33,33,106924,3.2782554626464844e-07
34,34,106915,3.5762786865234375e-07
35,35,106925,1.1920928955078125e-07
36,36,106845,2.384185791015625e-07
