,idx,idm,errors
0,0,103422,0.0
1,1,103429,0.0
2,2,103428,0.0
3,3,103433,0.0
4,4,103425,0.0
5,5,103435,0.0
6,6,103436,0.0
7,7,103638,0.0
8,8,103639,0.0
9,9,103650,0.0
10,10,103652,0.0
11,11,103653,0.0
12,12,103649,0.0
13,13,103656,0.0
14,14,103657,0.0
15,15,103882,0.0
16,16,103885,0.0
17,17,103890,0.0
18,18,103893,0.0
19,19,103898,0.0
20,20,104104,0.0
21,21,104105,0.0
22,22,104112,0.0
23,23,104115,0.0
24,24,104122,0.0
25,25,104123,0.0
26,26,104124,0.0
27,27,104127,0.0
28,28,104336,0.0
29,29,104344,0.0
30,30,104348,0.0
31,31,104320,0.0
32,32,104548,0.0
33,33,104734,0.0
34,34,103432,0.0
