,idx,idm,errors
0,0,79138,4.76837158203125e-07
1,1,79139,4.76837158203125e-07
2,2,79053,4.76837158203125e-07
3,3,79136,4.76837158203125e-07
4,4,79203,0.0
5,5,79202,0.0
6,6,79204,4.76837158203125e-07
7,7,79248,0.0
8,8,79250,4.76837158203125e-07
9,9,79057,4.76837158203125e-07
10,10,79252,4.76837158203125e-07
11,11,79140,0.0
12,12,79293,0.0
13,13,79201,0.0
14,14,79294,0.0
15,15,79296,4.76837158203125e-07
16,16,79297,4.76837158203125e-07
17,17,79327,0.0
18,18,79328,4.76837158203125e-07
19,19,79330,0.0
20,20,79370,0.0
21,21,79372,0.0
22,22,79373,4.76837158203125e-07
23,23,79404,0.0
24,24,79406,4.76837158203125e-07
25,25,79432,0.0
26,26,79368,9.5367431640625e-07
27,27,79433,0.0
28,28,79434,0.0
29,29,79435,0.0
30,30,79436,9.5367431640625e-07
31,31,79437,0.0
32,32,79438,0.0
33,33,79439,0.0
34,34,79405,0.0
35,35,79477,0.0
36,36,79479,0.0
37,37,79480,9.5367431640625e-07
38,38,79481,0.0
39,39,79482,0.0
40,40,79512,0.0
41,41,79511,0.0
42,42,79510,0.0
43,43,79508,0.0
44,44,79513,0.0
45,45,79514,0.0
