,idx,idm,errors
0,0,70553,0.0
1,1,70554,0.0
2,2,70555,0.0
3,3,70556,0.0
4,4,70557,0.0
5,5,70558,0.0
6,6,70559,0.0
7,7,70563,0.0
8,8,70562,0.0
9,9,70561,0.0
10,10,70564,0.0
11,11,70567,0.0
12,12,70568,0.0
13,13,70571,0.0
14,14,70572,0.0
15,15,70573,0.0
16,16,70574,0.0
17,17,70575,0.0
18,18,70577,0.0
19,19,70580,0.0
20,20,70583,0.0
21,21,70584,0.0
22,22,70585,0.0
23,23,70586,0.0
24,24,70587,0.0
25,25,70588,0.0
26,26,70576,0.0
27,27,70590,0.0
28,28,70598,0.0
29,29,70599,0.0
30,30,70600,0.0
31,31,70601,0.0
32,32,70613,0.0
33,33,70614,0.0
34,34,70615,0.0
35,35,70617,0.0
36,36,70635,0.0
