,idx,idm,errors
0,0,78517,0.0
1,1,78352,0.0
2,2,78512,0.0
3,3,78444,0.0
4,4,78526,0.0
5,5,78359,0.0
6,6,78529,0.0
7,7,78576,9.5367431640625e-07
8,8,78579,0.0
9,9,78581,0.0
10,10,78621,0.0
11,11,78630,0.0
12,12,78633,0.0
13,13,78635,0.0
14,14,78533,0.0
15,15,78620,0.0
16,16,78663,0.0
17,17,78570,0.0
18,18,78618,0.0
19,19,78664,0.0
20,20,78564,0.0
21,21,78666,0.0
22,22,78667,9.5367431640625e-07
23,23,78677,0.0
24,24,78710,0.0
25,25,78625,0.0
26,26,78671,0.0
27,27,78711,0.0
28,28,78569,0.0
29,29,78714,0.0
30,30,78717,0.0
31,31,78756,0.0
32,32,78757,9.5367431640625e-07
33,33,78759,0.0
34,34,78760,0.0
35,35,78675,0.0
36,36,78761,0.0
37,37,78762,0.0
38,38,78719,0.0
39,39,78680,0.0
