,idx,idm,errors
0,0,78452,0.0
1,1,78453,0.0
2,2,78454,0.0
3,3,78455,0.0
4,4,78449,0.0
5,5,78456,0.0
6,6,78468,0.0
7,7,78527,0.0
8,8,78520,0.0
9,9,78547,0.0
10,10,78548,0.0
11,11,78577,0.0
12,12,78582,0.0
13,13,78583,0.0
14,14,78585,0.0
15,15,78587,0.0
16,16,78588,0.0
17,17,78589,0.0
18,18,78628,0.0
19,19,78631,0.0
20,20,78636,0.0
21,21,78645,0.0
22,22,78672,0.0
23,23,78673,0.0
24,24,78676,0.0
25,25,78722,0.0
26,26,78723,0.0
27,27,78763,0.0
28,28,78764,0.0
29,29,78765,0.0
30,30,78766,0.0
31,31,78767,0.0
32,32,78769,0.0
33,33,78809,0.0
34,34,78812,0.0
35,35,78852,0.0
