,idx,idm,errors
0,0,74321,20.997786054116265
1,1,74321,20.80229522715965
2,2,74454,23.05544160775396
3,3,74454,20.6927079600445
4,4,74454,20.747025120427335
5,5,74454,20.971361403638966
6,6,74454,21.345428361173788
7,7,74454,21.83686259273645
8,8,74454,22.405703695641964
9,9,74454,23.008972149022668
10,10,74454,23.604508667067076
11,11,74454,24.153765912296507
12,12,74454,24.623577842804142
13,13,74454,24.987163699832948
14,14,74454,25.22478310973134
15,15,74454,25.323901612006097
16,16,74452,25.25062891266856
17,17,74452,25.024800878548035
18,18,74321,24.66595724836206
19,19,74321,24.173205852166387
20,20,74321,23.605923087896556
21,21,74321,22.99878654470989
22,22,74321,22.391657110269023
23,23,74321,21.82757132794502
24,24,74321,21.34981557918221
25,25,74321,18.80692976493738
26,26,74321,18.371114407215387
27,27,74454,18.24752049222307
28,28,74454,18.36942205551687
29,29,74454,18.867784644951065
30,30,74454,19.682009213392927
31,31,74454,20.723436654163876
32,32,74454,21.894380314491535
33,33,76230,22.878364873810913
34,34,76230,23.423169277014548
35,35,76230,24.317231723724262
36,36,76230,25.46686424967296
37,37,76230,26.76648174898995
38,38,74454,27.305939694438244
39,39,74452,27.484198380456125
40,40,74452,27.32374314361109
41,41,74452,26.908629749511533
42,42,74321,26.188532824105764
43,43,74321,25.26103844389723
44,44,74243,24.1610979371946
45,45,74243,22.95703508898399
46,46,74243,21.739590782243393
47,47,74321,20.59526190934364
48,48,74321,19.577054047185502
49,49,74321,16.62211691940129
50,50,74321,15.88514502973534
51,51,74389,15.70042000748537
52,52,74454,15.941606004487687
53,53,74454,16.7801785614241
54,54,74738,18.062606041656533
55,55,74738,19.42483758514912
56,56,76230,20.211187242110125
57,57,76230,20.431190587855127
58,58,76230,21.32440322021801
59,59,76230,22.75610647103526
60,60,76230,24.545145417876277
61,61,76230,26.511033383562843
62,62,76230,28.497575626611386
63,63,74452,29.514346576048133
64,64,74452,29.29324934927154
65,65,74321,28.709339450114165
66,66,74243,27.680714491443286
67,67,74243,26.31497140557319
68,68,74243,24.71606899315788
69,69,74243,22.956465289576894
70,70,74243,21.13152548850058
71,71,74243,19.364746624377812
72,72,74243,17.8109597616456
73,73,74243,14.406587901395927
74,74,74321,13.368372218256225
75,75,74389,13.098763867899388
76,76,74454,13.489319172141641
77,77,74524,14.674920727598511
78,78,74738,16.081171958934544
79,79,74738,18.036807328383365
80,80,76227,17.78175856885381
81,81,76230,18.148082654289418
82,82,76230,19.444353398879553
83,83,76230,21.460228839924138
84,84,76230,23.897859908654503
85,85,76230,26.49996048860263
86,86,76230,29.069306330903533
87,87,74452,31.419678269113405
88,88,74452,31.148170805055365
89,89,74317,30.35526881059249
90,90,74242,28.941889107082577
91,91,74242,27.12497572467306
92,92,74242,25.041507922148284
93,93,74242,22.781063957974002
94,94,74242,20.46537244913146
95,95,74176,18.212460587857464
96,96,74243,16.12035468685162
97,97,74243,12.261516589685478
98,98,74321,10.857390245951963
99,99,74389,10.485505384956934
100,100,74454,11.052225310773341
101,101,74738,12.34324356580656
102,102,74803,14.223970287307054
103,103,76227,16.27236294573912
104,104,76227,15.557355799209345
105,105,76230,16.14573533947514
106,106,76230,17.888975139627163
107,107,76230,20.503909452930397
108,108,76691,23.515637978577445
109,109,76691,26.68951937127461
110,110,76691,29.80335132475443
111,111,76230,32.62946144429395
112,112,74452,32.87872897234551
113,113,74242,31.78907036569778
114,114,74242,30.054505913082437
115,115,74173,27.862365757029554
116,116,74173,25.28119287333521
117,117,74173,22.493410741126205
118,118,74173,19.642602573822483
119,119,74173,16.93989689766144
120,120,74176,14.414072542442776
121,121,74176,10.163351916709177
122,122,74243,8.387836589760994
123,123,74389,7.915974664633473
124,124,74524,8.669529346970382
125,125,74738,10.035461362989034
126,126,74880,12.37651605202683
127,127,76227,14.647321859595335
128,128,76227,13.715306092553787
129,129,76690,14.463050337047807
130,130,76691,16.658348515002395
131,131,76691,19.708837081124308
132,132,76691,23.273863495964843
133,133,76691,26.958482008623964
134,134,76691,30.513710678621607
135,135,76691,33.77469583392166
136,136,74317,34.398060480578366
137,137,74242,33.066049987178964
138,138,74173,31.06966635105735
139,139,74173,28.499435195423217
140,140,74173,25.551621409210647
141,141,74173,22.320032259599767
142,142,74173,18.938240057381385
143,143,74173,15.614505992044997
144,144,74173,12.707388927258672
145,145,74242,8.195102503862229
146,146,74243,6.02595535333477
147,147,74454,5.459236417394658
148,148,74524,6.350282365158998
149,149,74803,7.874261653422374
150,150,74880,10.51545695111076
151,151,76688,13.4596162243317
152,152,76688,12.30173893988053
153,153,76690,13.133106150445702
154,154,76691,15.79543834826427
155,155,76691,19.33819069507265
156,156,76691,23.364261893748708
157,157,76691,27.450904332988575
158,158,76691,31.34965482495236
159,159,76691,34.90006133382976
160,160,74317,35.73621286958155
161,161,74242,34.24588939837602
162,162,74173,31.962444618457774
163,163,74173,29.151610474405633
164,164,74172,25.847284832647603
165,165,74172,22.202232052855948
166,166,74172,18.428412424774233
167,167,74173,14.563024740595282
168,168,74173,10.940936711387662
169,169,74173,6.108949021637046
170,170,74317,4.093022611592833
171,171,74452,3.193065626186877
172,172,74737,4.0143749751690585
173,173,74880,5.823204298394334
174,174,74948,8.557344237475192
175,175,75170,12.260248944284015
176,176,76688,11.485925758256327
177,177,76875,12.478622496789944
178,178,76875,15.348028778614212
179,179,76875,19.402610383919754
180,180,76691,23.781602066641238
181,181,76691,28.146924370526758
182,182,76691,32.28773953539143
183,183,79136,35.28280163435763
184,184,74317,36.93483027227924
185,185,74312,35.19735599133802
186,186,74312,32.729836152320274
187,187,74172,29.59966978613713
188,188,74172,25.964892161486617
189,189,74172,21.97703925823523
190,190,74172,17.76546069614303
191,191,74172,13.544304512318979
192,192,74098,9.5522216867342
193,193,74173,4.414948418040382
194,194,74317,2.368086146275433
195,195,74522,1.822132392057394
196,196,74737,2.2131740442844783
197,197,74880,4.018303334717374
198,198,75169,6.950599638189343
199,199,75983,10.284024888723595
