,idx,idm,errors
0,0,28636,0.0
1,1,28342,0.0
2,2,28639,0.0
3,3,28641,0.0
4,4,28343,0.0
5,5,28645,0.0
6,6,28644,0.0
7,7,28981,9.5367431640625e-07
8,8,28982,0.0
9,9,28983,0.0
10,10,28985,0.0
11,11,28986,0.0
12,12,28987,0.0
13,13,29272,0.0
14,14,29271,0.0
15,15,28980,0.0
16,16,29275,0.0
17,17,29276,0.0
18,18,29277,0.0
19,19,29278,0.0
20,20,29280,0.0
21,21,28990,0.0
22,22,29586,0.0
23,23,29587,0.0
24,24,29589,0.0
25,25,29590,0.0
26,26,29591,0.0
27,27,29593,0.0
28,28,29595,0.0
29,29,29898,0.0
30,30,29900,0.0
31,31,29901,0.0
32,32,29902,0.0
33,33,29903,0.0
34,34,29904,0.0
35,35,30195,0.0
36,36,30196,0.0
37,37,30199,0.0
38,38,30200,0.0
39,39,30466,0.0
40,40,30467,0.0
41,41,30468,0.0
42,42,30470,0.0
43,43,30760,0.0
44,44,30761,0.0
45,45,30762,0.0
46,46,31040,0.0
47,47,31041,0.0
48,48,31042,0.0
49,49,31043,0.0
50,50,31044,0.0
51,51,30757,0.0
52,52,31045,0.0
53,53,31046,0.0
54,54,31047,0.0
55,55,31050,4.76837158203125e-07
56,56,31051,4.76837158203125e-07
57,57,31052,0.0
58,58,31337,0.0
59,59,31338,0.0
60,60,31339,0.0
61,61,31609,4.76837158203125e-07
62,62,31608,4.76837158203125e-07
63,63,31610,0.0
64,64,31611,0.0
65,65,31612,0.0
66,66,31615,0.0
67,67,31617,4.76837158203125e-07
68,68,31618,4.76837158203125e-07
69,69,31908,4.76837158203125e-07
70,70,31909,0.0
71,71,31910,0.0
72,72,31911,0.0
73,73,32202,0.0
74,74,32203,4.76837158203125e-07
75,75,32201,0.0
76,76,32205,0.0
77,77,32206,4.76837158203125e-07
78,78,32207,4.76837158203125e-07
79,79,32209,4.76837158203125e-07
80,80,32210,0.0
81,81,32212,4.76837158203125e-07
82,82,32213,0.0
83,83,32505,4.76837158203125e-07
84,84,32506,0.0
85,85,32508,4.76837158203125e-07
86,86,32509,0.0
87,87,32793,4.76837158203125e-07
88,88,32794,0.0
89,89,28637,9.5367431640625e-07
90,90,29273,0.0
91,91,29584,0.0
92,92,64526,0.0
93,93,64530,4.76837158203125e-07
94,94,32791,4.76837158203125e-07
