,idx,idm,errors
0,0,28580,0.0
1,1,28278,0.0
2,2,28277,0.0
3,3,28582,0.0
4,4,28282,0.0
5,5,28584,0.0
6,6,28913,0.0
7,7,28914,0.0
8,8,28916,0.0
9,9,28917,0.0
10,10,28918,0.0
11,11,28919,0.0
12,12,28920,0.0
13,13,28922,0.0
14,14,29222,0.0
15,15,29223,0.0
16,16,29224,0.0
17,17,29225,0.0
18,18,29543,0.0
19,19,29541,0.0
20,20,29546,0.0
21,21,29547,9.5367431640625e-07
22,22,29549,0.0
23,23,29859,0.0
24,24,29861,0.0
25,25,29862,0.0
26,26,29863,0.0
27,27,29864,0.0
28,28,29865,0.0
29,29,30152,0.0
30,30,30153,0.0
31,31,30154,0.0
32,32,30430,9.5367431640625e-07
33,33,30432,0.0
34,34,30718,9.5367431640625e-07
35,35,30427,0.0
36,36,30721,0.0
37,37,31001,0.0
38,38,31002,0.0
39,39,31004,0.0
40,40,31005,0.0
41,41,30434,0.0
42,42,29540,0.0
