,idx,idm,errors
0,0,67164,2.384185791015625e-07
1,1,67015,4.76837158203125e-07
2,2,67168,2.384185791015625e-07
3,3,67169,2.384185791015625e-07
4,4,67085,0.0
5,5,67217,4.76837158203125e-07
6,6,67155,0.0
7,7,67218,4.76837158203125e-07
8,8,67090,0.0
9,9,67093,3.5762786865234375e-07
10,10,67222,3.8743019104003906e-07
11,11,67096,0.0
12,12,67171,0.0
13,13,67277,1.1920928955078125e-07
14,14,67280,1.1920928955078125e-07
15,15,67281,2.384185791015625e-07
16,16,67323,0.0
17,17,67325,4.76837158203125e-07
18,18,67330,4.76837158203125e-07
19,19,67283,4.76837158203125e-07
20,20,67376,0.0
21,21,67377,4.76837158203125e-07
22,22,67380,4.172325134277344e-07
23,23,67436,0.0
24,24,67439,0.0
25,25,67440,2.384185791015625e-07
26,26,67441,2.384185791015625e-07
27,27,67446,4.470348358154297e-08
28,28,67447,1.1920928955078125e-07
29,29,67452,4.76837158203125e-07
30,30,67454,4.76837158203125e-07
31,31,67520,0.0
32,32,67532,0.0
33,33,67589,2.384185791015625e-07
34,34,67590,2.384185791015625e-07
35,35,67637,0.0
36,36,67639,0.0
37,37,67640,4.76837158203125e-07
38,38,67642,0.0
39,39,67596,0.0
40,40,67647,4.76837158203125e-07
41,41,67597,0.0
42,42,67710,3.5762786865234375e-07
43,43,67711,0.0
44,44,67714,0.0
45,45,67777,4.76837158203125e-07
46,46,67780,0.0
47,47,67781,2.384185791015625e-07
48,48,67789,2.384185791015625e-07
49,49,67791,4.76837158203125e-07
50,50,67793,0.0
51,51,67855,3.5762786865234375e-07
52,52,67771,0.0
