,idx,idm,errors
0,0,1201,0.0
1,1,1204,0.0
2,2,1202,0.0
3,3,1218,4.76837158203125e-07
4,4,1219,0.0
5,5,1205,4.76837158203125e-07
6,6,1222,0.0
7,7,1230,2.384185791015625e-07
8,8,1237,0.0
9,9,1236,2.384185791015625e-07
10,10,1248,3.5762786865234375e-07
11,11,1249,4.76837158203125e-07
12,12,1250,2.384185791015625e-07
13,13,1263,3.5762786865234375e-07
14,14,1264,1.1920928955078125e-07
15,15,1265,2.980232238769531e-07
16,16,1278,2.384185791015625e-07
17,17,1279,2.384185791015625e-07
18,18,1288,4.76837158203125e-07
19,19,1295,4.76837158203125e-07
20,20,1308,0.0
21,21,1309,4.76837158203125e-07
22,22,1310,4.76837158203125e-07
23,23,1321,4.76837158203125e-07
24,24,1322,4.76837158203125e-07
25,25,1328,0.0
26,26,1343,0.0
27,27,1347,0.0
28,28,1348,0.0
29,29,1217,0.0
30,30,64875,0.0
31,31,64874,0.0
32,32,64895,4.76837158203125e-07
33,33,64898,2.384185791015625e-07
34,34,64878,2.384185791015625e-07
35,35,64903,0.0
36,36,64882,3.5762786865234375e-07
37,37,64904,4.76837158203125e-07
38,38,64884,3.5762786865234375e-07
39,39,64910,2.384185791015625e-07
40,40,64931,4.76837158203125e-07
41,41,64890,4.76837158203125e-07
42,42,64932,0.0
43,43,64935,4.76837158203125e-07
44,44,64944,4.76837158203125e-07
45,45,64947,2.384185791015625e-07
46,46,64952,4.76837158203125e-07
47,47,64953,0.0
48,48,64959,0.0
49,49,64977,0.0
50,50,64990,4.76837158203125e-07
51,51,64992,4.76837158203125e-07
52,52,65017,4.76837158203125e-07
53,53,65022,4.76837158203125e-07
54,54,65027,2.980232238769531e-07
55,55,65029,0.0
56,56,65032,2.384185791015625e-07
57,57,65038,0.0
58,58,65040,0.0
59,59,65059,0.0
60,60,65062,4.76837158203125e-07
61,61,65067,4.76837158203125e-07
62,62,65068,4.76837158203125e-07
63,63,65071,4.76837158203125e-07
64,64,65074,5.960464477539063e-08
65,65,65079,4.76837158203125e-07
66,66,65081,4.76837158203125e-07
67,67,65089,0.0
68,68,65127,4.76837158203125e-07
69,69,65130,2.384185791015625e-07
70,70,65132,3.2782554626464844e-07
71,71,65137,4.76837158203125e-07
72,72,65143,4.76837158203125e-07
73,73,65145,4.76837158203125e-07
74,74,65172,0.0
75,75,65178,0.0
76,76,65189,0.0
77,77,65195,0.0
78,78,65228,0.0
79,79,65232,4.76837158203125e-07
80,80,65233,2.384185791015625e-07
81,81,65236,2.384185791015625e-07
82,82,65245,0.0
83,83,65247,0.0
84,84,65286,0.0
85,85,65297,2.384185791015625e-07
86,86,65301,0.0
87,87,65307,0.0
88,88,65226,0.0
89,89,65337,4.76837158203125e-07
90,90,65342,3.986060619354248e-07
91,91,65394,0.0
92,92,65395,4.76837158203125e-07
93,93,65401,2.384185791015625e-07
94,94,65402,2.384185791015625e-07
95,95,65405,1.1920928955078125e-07
96,96,65407,0.0
97,97,65408,3.5762786865234375e-07
98,98,65409,4.172325134277344e-07
99,99,65410,2.384185791015625e-07
100,100,65413,0.0
101,101,65416,4.76837158203125e-07
102,102,65422,0.0
103,103,65467,0.0
104,104,65472,2.384185791015625e-07
105,105,65473,3.5762786865234375e-07
106,106,65476,1.7881393432617188e-07
107,107,65478,4.76837158203125e-07
108,108,65482,4.76837158203125e-07
109,109,65483,0.0
110,110,65485,0.0
