,idx,idm,errors
0,0,63690,0.0
1,1,63691,0.0
2,2,63727,0.0
3,3,63692,0.0
4,4,63728,0.0
5,5,63729,0.0
6,6,63711,0.0
7,7,63669,0.0
8,8,63730,0.0
9,9,63693,0.0
10,10,63747,0.0
11,11,63748,0.0
12,12,63749,0.0
13,13,63694,0.0
14,14,63750,0.0
15,15,63712,0.0
16,16,63746,0.0
17,17,63764,0.0
18,18,63765,0.0
19,19,63766,0.0
20,20,63767,0.0
21,21,63786,0.0
22,22,63787,0.0
23,23,63806,0.0
24,24,63807,0.0
25,25,63808,0.0
26,26,63809,0.0
27,27,63823,0.0
28,28,63824,0.0
29,29,63825,0.0
30,30,63822,0.0
31,31,63838,0.0
32,32,63839,0.0
33,33,63840,0.0
34,34,63841,0.0
35,35,63867,0.0
36,36,63868,0.0
37,37,63892,0.0
38,38,63893,0.0
39,39,63894,0.0
40,40,63891,0.0
41,41,63917,0.0
42,42,63918,0.0
43,43,63919,0.0
44,44,63916,0.0
45,45,63936,0.0
46,46,63937,0.0
47,47,63938,0.0
48,48,63939,0.0
49,49,63965,0.0
50,50,63966,0.0
51,51,63981,0.0
52,52,63982,0.0
53,53,63983,0.0
