,idx,idm,errors
0,0,61876,0.0
1,1,61859,0.0
2,2,61869,0.0
3,3,61862,0.0
4,4,61877,0.0
5,5,61870,0.0
6,6,61883,0.0
7,7,61892,0.0
8,8,61893,0.0
9,9,61894,0.0
10,10,61884,0.0
11,11,61900,0.0
12,12,61904,0.0
13,13,61905,0.0
14,14,61906,0.0
15,15,61914,0.0
16,16,61915,0.0
17,17,61922,0.0
18,18,61930,0.0
19,19,61937,0.0
20,20,61947,0.0
21,21,61948,0.0
22,22,61949,0.0
23,23,61955,0.0
24,24,61956,0.0
25,25,61971,0.0
26,26,61972,0.0
27,27,61977,0.0
28,28,61985,0.0
29,29,62737,0.0
30,30,62732,0.0
31,31,62739,0.0
32,32,62740,0.0
33,33,62735,0.0
34,34,62741,0.0
35,35,62738,0.0
36,36,62743,0.0
37,37,62744,0.0
38,38,62747,0.0
39,39,62749,0.0
40,40,62750,0.0
41,41,62755,0.0
42,42,62756,0.0
43,43,62757,0.0
44,44,62758,0.0
45,45,62759,0.0
46,46,62762,0.0
47,47,62763,0.0
48,48,62765,0.0
49,49,62766,0.0
50,50,62767,0.0
51,51,62771,0.0
52,52,62773,0.0
53,53,62774,0.0
54,54,62775,0.0
55,55,62777,0.0
56,56,62778,0.0
57,57,62779,0.0
58,58,62782,0.0
59,59,62787,0.0
60,60,62788,0.0
61,61,62789,0.0
62,62,62790,0.0
63,63,62796,0.0
64,64,62797,0.0
65,65,62798,0.0
66,66,62799,0.0
