,idx,idm,errors
0,0,28954,4.76837158203125e-07
1,1,29245,2.384185791015625e-07
2,2,29568,2.384185791015625e-07
3,3,29570,9.5367431640625e-07
4,4,29248,4.76837158203125e-07
5,5,29251,0.0
6,6,28960,0.0
7,7,29572,0.0
8,8,29573,0.0
9,9,29254,0.0
10,10,29255,0.0
11,11,29574,0.0
12,12,29264,0.0
13,13,29266,0.0
14,14,29580,0.0
15,15,29583,0.0
16,16,29273,0.0
17,17,29584,0.0
18,18,29268,0.0
19,19,29270,0.0
20,20,29587,0.0
21,21,29277,0.0
22,22,29589,0.0
23,23,29275,0.0
24,24,29280,0.0
25,25,29593,0.0
26,26,29591,0.0
27,27,29882,1.1920928955078125e-07
28,28,29883,4.76837158203125e-07
29,29,29249,0.0
30,30,29885,0.0
31,31,29258,0.0
32,32,29259,0.0
33,33,29887,0.0
34,34,29890,0.0
35,35,29261,0.0
36,36,29891,0.0
37,37,29260,0.0
38,38,29263,0.0
39,39,29893,0.0
40,40,29896,0.0
41,41,29267,0.0
42,42,29590,0.0
43,43,29898,0.0
44,44,29900,0.0
45,45,29901,0.0
46,46,29902,0.0
47,47,29903,0.0
48,48,29904,0.0
49,49,29595,0.0
50,50,30010,0.0
51,51,29077,0.0
52,52,30011,0.0
53,53,30013,0.0
54,54,30014,0.0
55,55,30015,0.0
56,56,29403,0.0
57,57,29708,0.0
58,58,29394,0.0
59,59,30016,0.0
60,60,29089,0.0
61,61,29720,0.0
62,62,30020,0.0
63,63,29402,0.0
64,64,29401,0.0
65,65,30021,9.5367431640625e-07
66,66,29879,2.384185791015625e-07
67,67,29241,9.830249847454215e-07
68,68,28953,1.1920928955078125e-07
69,69,28952,4.470348358154297e-08
70,70,30178,3.5762786865234375e-07
71,71,30182,0.0
72,72,30185,0.0
73,73,30186,0.0
74,74,30188,9.5367431640625e-07
75,75,30189,0.0
76,76,30191,0.0
77,77,30192,0.0
78,78,30195,0.0
79,79,30196,0.0
80,80,30199,0.0
81,81,30200,0.0
82,82,29906,0.0
83,83,30203,0.0
84,84,30205,0.0
85,85,29596,0.0
86,86,30206,0.0
87,87,30208,0.0
88,88,30217,0.0
89,89,29918,0.0
90,90,29919,0.0
91,91,30264,0.0
92,92,29984,0.0
93,93,29983,0.0
94,94,29695,0.0
95,95,30274,0.0
96,96,30275,0.0
97,97,30277,0.0
98,98,29685,0.0
99,99,29999,0.0
100,100,29703,0.0
101,101,30003,9.5367431640625e-07
102,102,30281,0.0
103,103,29704,0.0
104,104,30282,0.0
105,105,30004,0.0
106,106,30290,0.0
107,107,29709,0.0
108,108,29083,0.0
109,109,30293,0.0
110,110,30301,0.0
111,111,30302,0.0
112,112,30303,0.0
113,113,30447,0.0
114,114,30448,2.980232238769531e-07
115,115,30453,0.0
116,116,30454,0.0
117,117,30458,0.0
118,118,30461,0.0
119,119,30466,0.0
120,120,30467,0.0
121,121,30468,0.0
122,122,30470,0.0
123,123,30472,0.0
124,124,30473,0.0
125,125,29907,0.0
126,126,30475,0.0
127,127,30210,0.0
128,128,30476,0.0
129,129,29909,9.5367431640625e-07
130,130,29910,0.0
131,131,30481,0.0
132,132,29915,0.0
133,133,29914,0.0
134,134,30482,0.0
135,135,30484,0.0
136,136,30485,0.0
137,137,29916,0.0
138,138,30487,0.0
139,139,29921,0.0
140,140,29925,0.0
141,141,30219,0.0
142,142,30488,0.0
143,143,30490,0.0
144,144,30491,0.0
145,145,30221,0.0
146,146,30492,0.0
147,147,29927,9.5367431640625e-07
148,148,29929,0.0
149,149,30495,0.0
150,150,29930,0.0
151,151,30500,0.0
152,152,30224,0.0
153,153,29933,0.0
154,154,29937,0.0
155,155,30502,0.0
156,156,30503,0.0
157,157,30228,0.0
158,158,30510,0.0
159,159,30511,0.0
160,160,29942,0.0
161,161,30546,0.0
162,162,30555,0.0
163,163,30556,0.0
164,164,29993,9.5367431640625e-07
165,165,29994,0.0
166,166,30557,0.0
167,167,29995,0.0
168,168,30558,0.0
169,169,30268,0.0
170,170,30276,0.0
171,171,30563,0.0
172,172,30567,0.0
173,173,30568,0.0
174,174,30283,0.0
175,175,30569,0.0
176,176,30574,0.0
177,177,29710,0.0
178,178,30575,0.0
179,179,30576,0.0
180,180,30002,0.0
181,181,30580,0.0
182,182,30581,0.0
183,183,30582,0.0
184,184,30584,0.0
185,185,30585,0.0
186,186,30586,0.0
187,187,30740,1.1920928955078125e-07
188,188,30738,2.384185791015625e-07
189,189,30744,4.76837158203125e-07
190,190,30745,0.0
191,191,30748,0.0
192,192,30749,9.5367431640625e-07
193,193,30750,0.0
194,194,30755,0.0
195,195,30756,0.0
196,196,30757,0.0
197,197,30760,0.0
198,198,30761,0.0
199,199,30762,0.0
200,200,30763,0.0
201,201,30764,0.0
202,202,30765,0.0
203,203,30767,0.0
204,204,30212,0.0
205,205,30768,0.0
206,206,30479,0.0
207,207,30769,0.0
208,208,30770,0.0
209,209,30480,0.0
210,210,30213,0.0
211,211,30772,0.0
212,212,30774,0.0
213,213,30775,0.0
214,214,30778,0.0
215,215,30781,0.0
216,216,30782,0.0
217,217,30783,0.0
218,218,30784,0.0
219,219,30785,0.0
220,220,30227,0.0
221,221,30231,0.0
222,222,30788,0.0
223,223,30790,0.0
224,224,30791,0.0
225,225,30521,0.0
226,226,30795,0.0
227,227,30236,0.0
228,228,30239,0.0
229,229,30796,0.0
230,230,30799,0.0
231,231,30535,0.0
232,232,30803,0.0
233,233,29960,0.0
234,234,29961,0.0
235,235,30242,9.5367431640625e-07
236,236,30804,0.0
237,237,30243,0.0
238,238,30815,0.0
239,239,30816,0.0
240,240,30258,0.0
241,241,30254,0.0
242,242,30541,0.0
243,243,30261,0.0
244,244,30824,0.0
245,245,30825,0.0
246,246,30548,0.0
247,247,30831,0.0
248,248,29986,0.0
249,249,30832,0.0
250,250,30844,0.0
251,251,30845,0.0
252,252,30846,0.0
253,253,30847,0.0
254,254,30850,0.0
255,255,30854,0.0
256,256,30855,0.0
257,257,30856,0.0
258,258,30862,0.0
259,259,30863,0.0
260,260,30864,0.0
261,261,30868,0.0
262,262,30869,0.0
263,263,30870,0.0
264,264,30871,0.0
265,265,31027,3.5762786865234375e-07
266,266,31028,2.384185791015625e-07
267,267,31030,0.0
268,268,31031,0.0
269,269,31037,0.0
270,270,31040,0.0
271,271,31041,0.0
272,272,31042,0.0
273,273,31043,0.0
274,274,31044,0.0
275,275,31045,0.0
276,276,31046,0.0
277,277,31047,0.0
278,278,31050,4.76837158203125e-07
279,279,31051,4.76837158203125e-07
280,280,31052,0.0
281,281,31053,4.76837158203125e-07
282,282,31055,0.0
283,283,31058,0.0
284,284,31059,0.0
285,285,31060,0.0
286,286,31061,0.0
287,287,31066,0.0
288,288,31068,0.0
289,289,31069,0.0
290,290,31070,0.0
291,291,31073,0.0
292,292,31075,0.0
293,293,31077,0.0
294,294,31078,0.0
295,295,31086,0.0
296,296,31090,0.0
297,297,31091,0.0
298,298,31094,0.0
299,299,30518,0.0
300,300,31098,0.0
301,301,31099,0.0
302,302,31104,0.0
303,303,30530,0.0
304,304,30540,0.0
305,305,31111,0.0
306,306,31112,0.0
307,307,31114,0.0
308,308,31115,0.0
309,309,30249,0.0
310,310,31116,0.0
311,311,31117,0.0
312,312,31121,0.0
313,313,31123,0.0
314,314,31124,0.0
315,315,31125,0.0
316,316,31127,0.0
317,317,31135,0.0
318,318,31136,0.0
319,319,31137,0.0
320,320,31138,0.0
321,321,31139,9.5367431640625e-07
322,322,31143,0.0
323,323,31144,0.0
324,324,31145,0.0
325,325,31146,0.0
326,326,31151,0.0
327,327,31152,9.5367431640625e-07
328,328,31155,0.0
329,329,31156,9.5367431640625e-07
330,330,31157,0.0
331,331,31315,4.76837158203125e-07
332,332,31314,0.0
