,idx,idm,errors
0,0,28508,0.0
1,1,28828,0.0
2,2,29154,0.0
3,3,28510,0.0
4,4,28190,0.0
5,5,29156,0.0
6,6,29157,0.0
7,7,28512,0.0
8,8,28830,0.0
9,9,28831,0.0
10,10,29158,0.0
11,11,29159,0.0
12,12,28832,0.0
13,13,29160,0.0
14,14,28834,0.0
15,15,29161,0.0
16,16,29466,9.5367431640625e-07
17,17,29467,0.0
18,18,29470,0.0
19,19,29471,0.0
20,20,29472,0.0
21,21,28835,0.0
22,22,29474,0.0
23,23,28836,0.0
24,24,29783,0.0
25,25,29784,0.0
26,26,29785,9.5367431640625e-07
27,27,29786,0.0
28,28,29787,0.0
29,29,29788,0.0
30,30,29790,0.0
31,31,29791,0.0
32,32,28838,0.0
33,33,29792,0.0
34,34,29163,0.0
35,35,29477,0.0
36,36,29478,0.0
37,37,29795,0.0
38,38,29797,0.0
39,39,29798,0.0
40,40,29799,0.0
41,41,29861,0.0
42,42,29862,0.0
43,43,29546,0.0
44,44,29547,9.5367431640625e-07
45,45,29863,0.0
46,46,29564,0.0
47,47,29876,0.0
48,48,29874,9.5367431640625e-07
49,49,29565,0.0
50,50,29877,4.76837158203125e-07
51,51,29241,9.830249847454215e-07
52,52,29879,2.384185791015625e-07
53,53,30077,0.0
54,54,30078,0.0
55,55,30080,9.5367431640625e-07
56,56,30081,0.0
57,57,30082,0.0
58,58,30084,0.0
59,59,29476,0.0
60,60,30085,0.0
61,61,29793,0.0
62,62,30086,0.0
63,63,29479,0.0
64,64,30088,0.0
65,65,30089,0.0
66,66,30090,0.0
67,67,29481,0.0
68,68,29800,0.0
69,69,30092,0.0
70,70,29483,0.0
71,71,30093,0.0
72,72,30094,0.0
73,73,29802,0.0
74,74,29848,0.0
75,75,30147,0.0
76,76,30148,0.0
77,77,30152,0.0
78,78,30153,0.0
79,79,29864,0.0
80,80,30154,0.0
81,81,29550,0.0
82,82,30156,0.0
83,83,29551,0.0
84,84,30157,0.0
85,85,29553,0.0
