,idx,idm,errors
0,0,906,1.1920928955078125e-07
1,1,911,4.172325134277344e-07
2,2,900,2.384185791015625e-07
3,3,912,2.9802322387695312e-08
4,4,901,1.1920928955078125e-07
5,5,913,3.427267074584961e-07
6,6,902,2.384185791015625e-07
7,7,914,5.960464477539063e-08
8,8,918,4.76837158203125e-07
9,9,919,2.384185791015625e-07
10,10,920,3.5762786865234375e-07
11,11,915,0.0
12,12,909,4.172325134277344e-07
13,13,908,0.0
14,14,922,4.76837158203125e-07
15,15,923,2.384185791015625e-07
16,16,924,3.5762786865234375e-07
17,17,925,4.76837158203125e-07
18,18,916,1.7881393432617188e-07
19,19,926,2.384185791015625e-07
20,20,921,1.7881393432617188e-07
21,21,927,2.384185791015625e-07
22,22,928,4.76837158203125e-07
23,23,929,4.76837158203125e-07
24,24,930,2.384185791015625e-07
25,25,931,0.0
26,26,932,4.76837158203125e-07
27,27,933,4.76837158203125e-07
28,28,934,0.0
29,29,935,4.76837158203125e-07
30,30,936,0.0
31,31,937,0.0
32,32,1220,2.980232238769531e-07
33,33,1221,1.043081283569336e-07
34,34,1203,2.384185791015625e-07
35,35,1209,2.980232238769531e-07
36,36,1224,1.1920928955078125e-07
37,37,1210,1.7881393432617188e-07
38,38,1211,1.1920928955078125e-07
39,39,1225,2.086162567138672e-07
40,40,1226,4.172325134277344e-07
41,41,1212,2.384185791015625e-07
42,42,1227,1.1920928955078125e-07
43,43,1231,2.384185791015625e-07
44,44,1232,2.384185791015625e-07
45,45,1233,0.0
46,46,1234,4.172325134277344e-07
47,47,1228,5.960464477539063e-08
48,48,1238,4.76837158203125e-07
49,49,1239,3.5762786865234375e-07
50,50,1240,4.76837158203125e-07
51,51,1241,1.1920928955078125e-07
52,52,1242,4.76837158203125e-07
53,53,1243,4.76837158203125e-07
54,54,1244,2.384185791015625e-07
55,55,1245,4.76837158203125e-07
56,56,1246,2.086162567138672e-07
57,57,917,1.1920928955078125e-07
