,idx,idm,errors
0,0,122177,2.384185791015625e-07
1,1,122146,4.76837158203125e-07
2,2,122178,3.5762786865234375e-07
3,3,122147,2.384185791015625e-07
4,4,122149,3.5762786865234375e-07
5,5,122180,4.76837158203125e-07
6,6,122209,2.384185791015625e-07
7,7,122207,2.384185791015625e-07
8,8,122210,2.5331974029541016e-07
9,9,122214,2.384185791015625e-07
10,10,122215,2.384185791015625e-07
11,11,122219,4.76837158203125e-07
12,12,122183,4.76837158203125e-07
13,13,122187,0.0
14,14,122188,4.76837158203125e-07
15,15,122242,1.1920928955078125e-07
16,16,122244,4.76837158203125e-07
17,17,122246,0.0
18,18,122221,0.0
19,19,122288,4.76837158203125e-07
20,20,122292,3.5762786865234375e-07
21,21,122298,4.76837158203125e-07
22,22,122302,4.76837158203125e-07
23,23,122304,0.0
24,24,122333,4.76837158203125e-07
25,25,122331,2.384185791015625e-07
26,26,122334,0.0
27,27,122339,0.0
28,28,122340,4.76837158203125e-07
29,29,122341,4.76837158203125e-07
30,30,122344,0.0
31,31,122345,0.0
32,32,122346,0.0
33,33,122348,0.0
34,34,122380,0.0
35,35,122381,0.0
36,36,122382,0.0
37,37,122383,0.0
38,38,122384,0.0
39,39,122431,0.0
40,40,122184,4.76837158203125e-07
41,41,122150,4.76837158203125e-07
