,idx,idm,errors
0,0,118755,4.76837158203125e-07
1,1,118751,2.384185791015625e-07
2,2,118756,0.0
3,3,118778,3.129243850708008e-07
4,4,118779,1.1920928955078125e-07
5,5,118780,2.384185791015625e-07
6,6,118781,1.043081283569336e-07
7,7,118773,5.960464477539063e-08
8,8,118786,4.76837158203125e-07
9,9,118787,0.0
10,10,118788,2.384185791015625e-07
11,11,118782,4.172325134277344e-07
12,12,118789,4.76837158203125e-07
13,13,118783,3.5762786865234375e-07
14,14,118790,2.384185791015625e-07
15,15,118792,2.384185791015625e-07
16,16,118793,2.384185791015625e-07
17,17,118794,4.76837158203125e-07
18,18,118795,4.76837158203125e-07
19,19,118797,4.76837158203125e-07
20,20,118823,2.384185791015625e-07
21,21,118824,4.76837158203125e-07
