,idx,idm,errors
0,0,122862,1.1920928955078125e-07
1,1,122839,5.960464477539063e-08
2,2,122840,1.1920928955078125e-07
3,3,122859,0.0
4,4,122879,2.7939677238464355e-07
5,5,122863,4.76837158203125e-07
6,6,122882,2.384185791015625e-07
7,7,122865,0.0
8,8,122896,4.76837158203125e-07
9,9,122903,4.76837158203125e-07
10,10,122904,0.0
11,11,122864,4.76837158203125e-07
12,12,122907,4.76837158203125e-07
13,13,122885,0.0
14,14,122919,2.384185791015625e-07
15,15,122926,4.76837158203125e-07
16,16,122928,4.76837158203125e-07
17,17,122929,0.0
18,18,122909,0.0
19,19,122930,0.0
20,20,122942,4.76837158203125e-07
21,21,122959,4.76837158203125e-07
22,22,122972,0.0
23,23,122974,4.76837158203125e-07
