,idx,idm,errors
0,0,118703,4.76837158203125e-07
1,1,118704,0.0
2,2,118705,4.76837158203125e-07
3,3,118706,2.384185791015625e-07
4,4,118707,0.0
5,5,118708,2.384185791015625e-07
6,6,118709,2.384185791015625e-07
7,7,118710,4.76837158203125e-07
8,8,118716,4.76837158203125e-07
9,9,118713,0.0
10,10,118712,0.0
11,11,118715,0.0
12,12,118717,0.0
13,13,118718,2.384185791015625e-07
14,14,118719,2.384185791015625e-07
15,15,118720,1.1920928955078125e-07
16,16,118721,3.5762786865234375e-07
17,17,118722,0.0
18,18,118723,1.1920928955078125e-07
19,19,118728,0.0
20,20,118731,4.76837158203125e-07
21,21,118732,2.384185791015625e-07
22,22,118733,3.8743019104003906e-07
23,23,118734,2.384185791015625e-07
24,24,118735,4.172325134277344e-07
25,25,118749,4.76837158203125e-07
26,26,118757,0.0
