,idx,idm,errors
0,0,94896,0.0
1,1,94977,0.0
2,2,94978,0.0
3,3,94972,0.0
4,4,94894,9.5367431640625e-07
5,5,94941,4.76837158203125e-07
6,6,94986,4.76837158203125e-07
7,7,94940,4.76837158203125e-07
8,8,94934,0.0
9,9,94987,0.0
10,10,95024,0.0
11,11,95029,4.76837158203125e-07
12,12,95030,0.0
13,13,94989,2.384185791015625e-07
14,14,95033,4.76837158203125e-07
15,15,95060,0.0
16,16,95064,0.0
17,17,95065,0.0
18,18,95066,0.0
19,19,94992,4.76837158203125e-07
20,20,95072,2.384185791015625e-07
21,21,95035,2.384185791015625e-07
22,22,95104,0.0
23,23,95100,0.0
24,24,95105,4.76837158203125e-07
25,25,95106,0.0
26,26,95109,4.76837158203125e-07
27,27,95110,2.384185791015625e-07
28,28,95140,0.0
29,29,95137,0.0
30,30,95142,4.76837158203125e-07
31,31,95144,2.384185791015625e-07
32,32,95190,0.0
33,33,95191,0.0
34,34,95194,4.76837158203125e-07
35,35,95195,1.1920928955078125e-07
36,36,95232,4.76837158203125e-07
37,37,95235,4.76837158203125e-07
38,38,95236,2.384185791015625e-07
39,39,95234,1.1920928955078125e-07
40,40,95237,0.0
41,41,95264,4.76837158203125e-07
42,42,95231,0.0
43,43,95263,0.0
44,44,95265,4.76837158203125e-07
