,idx,idm,errors
0,0,91457,4.76837158203125e-07
1,1,91460,0.0
2,2,91465,0.0
3,3,91466,0.0
4,4,91461,0.0
5,5,91463,0.0
6,6,91481,2.384185791015625e-07
7,7,91482,1.1920928955078125e-07
8,8,91478,2.384185791015625e-07
9,9,91483,0.0
10,10,91464,0.0
11,11,91484,0.0
12,12,91485,0.0
13,13,91486,0.0
14,14,91487,1.1920928955078125e-07
15,15,91488,4.470348358154297e-07
16,16,91489,3.129243850708008e-07
17,17,91490,4.76837158203125e-07
18,18,91491,2.384185791015625e-07
19,19,91492,4.76837158203125e-07
20,20,91493,0.0
21,21,91494,4.76837158203125e-07
22,22,91515,0.0
23,23,91520,0.0
24,24,91519,4.76837158203125e-07
25,25,91521,0.0
26,26,91523,2.384185791015625e-07
27,27,91524,4.470348358154297e-07
28,28,91525,0.0
29,29,91526,2.384185791015625e-07
30,30,91527,2.086162567138672e-07
31,31,91528,4.76837158203125e-07
32,32,91542,0.0
33,33,91544,4.76837158203125e-07
34,34,91545,2.384185791015625e-07
35,35,91546,1.1920928955078125e-07
36,36,91559,2.384185791015625e-07
37,37,91560,0.0
38,38,91563,2.384185791015625e-07
39,39,91564,2.384185791015625e-07
