,idx,idm,errors
0,0,95593,0.0
1,1,95614,4.76837158203125e-07
2,2,95569,0.0
3,3,95612,4.76837158203125e-07
4,4,95568,4.76837158203125e-07
5,5,95619,1.1920928955078125e-07
6,6,95595,2.682209014892578e-07
7,7,95620,0.0
8,8,95633,4.76837158203125e-07
9,9,95635,0.0
10,10,95637,3.2782554626464844e-07
11,11,95638,0.0
12,12,95639,4.76837158203125e-07
13,13,95660,2.384185791015625e-07
14,14,95676,4.76837158203125e-07
15,15,95675,4.76837158203125e-07
16,16,95678,4.76837158203125e-07
17,17,95679,4.76837158203125e-07
18,18,95681,1.7881393432617188e-07
19,19,95659,4.76837158203125e-07
20,20,95682,1.7881393432617188e-07
21,21,95701,0.0
22,22,95702,0.0
23,23,95705,2.384185791015625e-07
24,24,95709,4.76837158203125e-07
25,25,95708,2.384185791015625e-07
26,26,95710,3.5762786865234375e-07
27,27,95729,4.76837158203125e-07
28,28,95731,1.1920928955078125e-07
29,29,95730,0.0
30,30,95735,2.384185791015625e-07
31,31,95732,5.960464477539063e-08
