,idx,idm,errors
0,0,91418,4.3213367462158203e-07
1,1,91419,8.940696716308594e-08
2,2,91420,3.5762786865234375e-07
3,3,91421,2.384185791015625e-07
4,4,91422,0.0
5,5,91423,0.0
6,6,91424,0.0
7,7,91425,3.5762786865234375e-07
8,8,91426,2.384185791015625e-07
9,9,91427,4.76837158203125e-07
10,10,91428,1.1920928955078125e-07
11,11,91433,4.76837158203125e-07
12,12,91434,3.5762786865234375e-07
13,13,91439,2.384185791015625e-07
14,14,91440,2.384185791015625e-07
15,15,91442,2.384185791015625e-07
16,16,91443,4.76837158203125e-07
17,17,91451,2.384185791015625e-07
18,18,91456,0.0
19,19,91462,1.7881393432617188e-07
20,20,91431,1.1920928955078125e-07
